Type,Body,Speed,Speed (Water),Speed (Air),Speed (Ground),Acceleration,Weight,Handling,Handling (Water),Handling (Air),Handling(Ground),Traction,Mini Turbo
Kart,Standard Kart,0,0,-0.25,0.25,0,0,0,0,-0.25,0.25,0,0
Kart,Prancer,0,0,-0.25,0.25,0,0,0,0,-0.25,0.25,0,0
Kart,Cat Cruiser,0,0,-0.25,0.25,0,0,0,0,-0.25,0.25,0,0
Kart,Sneeker,0,0,-0.25,0.25,0,0,0,0,-0.25,0.25,0,0
Kart,Gold Standard,0.5,0.25,0.25,0,-0.25,0.25,0,0,-0.25,0,-1,-0.5
Kart,Mach 8,0.5,0.25,0.25,0,-0.25,0.25,0,0,-0.25,0,-1,-0.5
Kart,Circuit Special,0.5,0.25,0.25,0,-0.25,0.25,0,0,-0.25,0,-1,-0.5
Kart,Sports Coupe,0.5,0.25,0.25,0,-0.25,0.25,0,0,-0.25,0,-1,-0.5
Kart,Bandwagon,0,0.5,-0.25,0,-0.5,0.5,-0.5,0.75,-0.5,-0.5,0.5,-0.75
Kart,TriSpeeder,0,0.5,-0.25,0,-0.5,0.5,-0.5,0.75,-0.5,-0.5,0.5,-0.75
Kart,Steel Driver,0,0.5,-0.25,0,-0.5,0.5,-0.5,0.75,-0.5,-0.5,0.5,-0.75
Kart,Biddybuggy,-0.75,0.5,0.25,0,1.25,-0.5,0.5,0.75,0.5,0.25,-0.25,1
Kart,Landship,-0.75,0.5,0.25,0,1.25,-0.5,0.5,0.75,0.5,0.25,-0.25,1
Kart,Pipe Frame,0,0.25,0,0,0.25,0.5,0.5,0.5,0.25,0.5,-0.5,0.25
Bike,The Duke,0,0,-0.25,0.25,0,0,0,0,-0.25,0.25,0,0
Bike,Mr. Scooty,-0.75,0.5,0.25,0,1.25,-0.5,0.5,0.75,0.5,0.25,-0.25,1
Bike,Standard Bike,0,0.25,0,0,0.25,0.5,0.5,0.5,0.25,0.5,-0.5,0.25
Bike,Flame Ride,0,0.25,0,0,0.25,0.5,0.5,0.5,0.25,0.5,-0.5,0.25
Bike,Varmit,0,0.25,0,0,0.25,0.5,0.5,0.5,0.25,0.5,-0.5,0.25
Bike,Sports Bike,0,0,-0.25,0,0.75,-0.25,0.75,0.75,0.5,0.75,-1.25,0.5
Bike,Jet Bike,0,0,-0.25,0,0.75,-0.25,0.75,0.75,0.5,0.75,-1.25,0.5
Bike,Comet,0,0,-0.25,0,0.75,-0.25,0.75,0.75,0.5,0.75,-1.25,0.5
Bike,Yoshi Bike,0,0,-0.25,0,0.75,-0.25,0.75,0.75,0.5,0.75,-1.25,0.5
ATV,Teddy Buggy,0,0,-0.25,0.25,0,0,0,0,-0.25,0.25,0,0
ATV,Wild Wiggler,0,0.25,0,0,0.25,0.5,0.5,0.5,0.25,0.5,-0.5,0.25
